position,score
8/8/1p2p3/2p1k3/2P1n3/8/2K5/8 b - - 1 58,543
r5k1/BPb4p/4b1p1/1B6/P2NP3/6P1/1r5P/2R3K1 w - - 9 36,2036
4b3/3rk3/7R/3BP2p/1pP1Kp2/1P5P/P7/8 b - - 0 49,-471
2b2kr1/ppp1r3/3pPp1p/3N1P2/5Q2/1P6/P1P3Pq/4RRK1 w - - 0 25,979
R1b5/1p2r1kp/2p1q1p1/1nN1P3/8/5N1P/1Q3PP1/6K1 w - - 7 29,583
3rr1k1/q4pp1/7p/8/P1Q1R3/5N1P/1R3PPK/8 w - - 3 32,544
2r2rk1/1pq1bppp/p2p1n2/3Pp3/1Pp1P2P/P1P3PB/Q2N1P1K/4N3 b - - 2 24,603
2b2kr1/ppp1r3/3pPp1p/3N1P2/5Q2/1P6/P1P1q1PP/4RRK1 w - - 2 25,1239
7k/p5p1/4p2p/2p5/3bP2P/1P1K4/P1R2r2/8 b - - 0 37,632
8/8/7K/6Q1/8/8/8/1k6 b - - 10 85,-3399
r1bq1rk1/ppp1ppbp/6p1/n7/3PP3/1BB5/PP2NPPP/R2QK2R b KQ - 6 10,-9
8/6pk/7q/7p/5P2/6rP/5QP1/4R2K w - - 1 48,470
5rk1/6pp/4b3/3PPp2/1q3P2/6P1/1P2R1BP/6K1 b - - 1 42,482
1r2rk2/2R2pp1/8/1p4P1/p3BP1Q/3Pq3/4P1K1/7R w - - 3 33,99999
2Q1b1k1/1pp2r2/3p4/3P4/1PP3B1/P6P/8/6K1 w - - 1 60,596
8/p7/r7/3kp3/8/8/8/3K4 b - - 1 55,698
3r2k1/p4pp1/2b4p/2Pn1q2/1Q1B4/4P2N/5P2/3BK1R1 w - - 4 31,364
N2k3r/8/2Bp2q1/pP1P1b2/5n1p/P4R1p/3Qr1PK/6N1 b - - 3 38,99999
k4b2/p6p/bpnN1pp1/2p2N2/P3PBK1/3r4/1P4PP/3R4 b - - 1 26,688
4r1k1/1q3pp1/7p/8/P1Q1R3/5N1P/1R3PPK/3r4 w - - 3 32,1258
8/b2k4/1pN1pn1p/6p1/PP2Pp2/2P2P1P/3NK1P1/8 w - - 1 33,540
5k2/p4ppp/1p1rpb1B/7R/8/8/Pr3PPP/3R2K1 b - - 1 23,99999
6k1/1Q3p1r/4P1p1/p7/2pP4/2P5/PP1q4/2K2R2 w - - 1 34,546
2rr4/1p2Npk1/p1bp3p/5P1p/2P5/1P2R2P/P2q1QP1/5RK1 w - - 4 27,961
7r/pp1n2k1/2p2q2/P6Q/1PB1P3/2N2nP1/5P2/7K b - - 2 32,1144
2K5/8/6p1/5pk1/5n1p/7P/1r6/8 b - - 3 61,3651
3r2k1/4R3/p3r1p1/1p5p/7P/1Pq5/P1B2Q2/1K6 b - - 2 44,733
8/p3kp2/1p2R3/5r1p/2r2p2/P1P3R1/6PK/8 b - - 0 40,521
